family,groups,dimension,steps,display_method,batch,particles,u_max,cells,finite,w1_mean_mean,w1_mean_std,w1_mean_median,ks_mean_mean,ks_mean_std,ks_mean_median,seconds_mean,seconds_std,seconds_median
mixture,64,8,512,Tail-WOR,4,8192,10.0,5,5,1.1847662278822892,0.38974719943625363,1.3197951620240542,0.5290639694797091,0.12583481937484445,0.5510076832561834,1.0375232875347138,0.02139423641073001,1.0288689136505127
mixture,64,8,512,Tail-WOR,4,8192,20.0,5,5,1.4395831195646618,0.3685313174471466,1.57089716343683,0.6404820186238905,0.12804094834417093,0.6872305759460654,1.0413833754137158,0.026772126190769054,1.0337377600371838
mixture,64,8,512,Tail-WOR,4,8192,30.0,5,5,1.053828374396369,0.34520683965512355,0.8799448560814744,0.5080152715491985,0.12213151021376673,0.4472624878697517,1.043335559219122,0.0024792065610894586,1.0436311662197113
mixture,64,8,512,Tail-WOR,4,32768,20.0,5,5,1.5151161445748542,0.13038392519023362,1.5601291807398296,0.6493807872679389,0.04264568641369467,0.6581371729145234,1.4625898455269635,0.008891592394293397,1.4669189020060005
mixture,64,8,512,Tail-WOR,4,131072,20.0,5,5,1.4696962138082033,0.35726055939651313,1.6754326567133409,0.6295483466456238,0.1213596011448303,0.701105477283704,4.769050198793411,0.019612796313726463,4.758320093154907
mixture,64,8,512,Tail-WOR,8,8192,20.0,5,5,1.006218455039502,0.3370077911534191,0.8781981233150021,0.4582383577853063,0.11802300615747432,0.4206430106541424,1.0227069096639751,0.020107656293658793,1.0165267009288073
mixture,64,8,512,Tail-WR,2,8192,20.0,5,5,1.2426879427258322,0.40470635359246465,1.3309870631061351,0.5461028297457318,0.16094562046984479,0.6022357834858391,1.0610350370407104,0.02143441434159194,1.0571740940213203
mixture,64,8,512,Tail-WR,4,8192,10.0,5,5,1.4374753666429714,0.3224137445069827,1.5707694565330437,0.6269514072401653,0.10382733850667505,0.661724132981665,1.079173790710047,0.016027399885788045,1.0887508490122857
mixture,64,8,512,Tail-WR,4,8192,20.0,5,5,1.0040776168619874,0.32670218995728095,0.8820459742069285,0.4987525075977599,0.10907173030484872,0.4529217086729892,1.0611679054796697,0.021321153128885797,1.059996418654919
mixture,64,8,512,Tail-WR,4,8192,30.0,5,5,1.4959545825302865,0.18959144515656523,1.4844830055065392,0.6633328194193588,0.07729976106842162,0.6729096451227825,1.038542649988085,0.025067856105811935,1.0269847651943564
mixture,64,8,512,Tail-WR,4,32768,20.0,5,5,0.8227803036338065,0.05032015012232545,0.7944242727250481,0.4120021353047041,0.019646453844317333,0.4062011401073323,1.3052936911582946,0.002431372083421414,1.306464832276106
mixture,64,8,512,Tail-WR,4,131072,20.0,5,5,1.2867314979898314,0.38861532391745124,1.553771024675939,0.5631736020824303,0.14174232911328702,0.6483429159659589,3.934322243789211,0.029494737393612486,3.9542834321036935
mixture,64,8,512,Tail-WR,8,8192,20.0,5,5,1.5139926614350767,0.10418295850873652,1.5725303827407728,0.6329276644077761,0.04292570638939446,0.6595405559466899,1.0516645424067974,0.03980443909682819,1.0421673655509949
mixture,64,8,512,U-WOR,2,8192,20.0,5,0,1.6519371563235279,0.008866495280976964,1.6507467289947195,0.7020417720751072,0.002307850740487758,0.7026188829762088,0.7790195800364017,0.011098360872508954,0.7788780890405178
mixture,64,8,512,U-WOR,4,8192,10.0,5,0,1.6642461807133984,0.011672535198240847,1.6659630252413709,0.7058841685267863,0.004269300493160524,0.705904327305908,0.798168420791626,0.003673510495797653,0.7963935658335686
