batch,cell_id,covariance_error,coverage90,coverage95,dataset_seed,dimension,groups,line,log_normalizer,mean_error,method,particles,phase,proposal_scale,regime,seconds,seconds_including_preparation,seed,setting_id,sliced_w1_32,stages,state_mse,status,steps,w1_mean,width90,width95
,10,0.001423693876499542,1.0,1.0,1201,2,12,sensor,-17.936982800167854,0.005641997041964354,annealed_smc,16384,confirmation,0.15,ambiguous,0.10162513703107834,0.10162513703107834,5101401,smc_k64_scale0.15,0.006640897150595627,64,0.07328577725617072,completed,,0.006504233891015593,1.8952857473173534,2.207949467554114
,11,0.002524800504610434,1.0,1.0,1201,2,12,sensor,,0.006227038396952866,exact,16384,confirmation,,ambiguous,0.00484054908156395,0.00484054908156395,5101401,exact,0.006827493676324131,,0.07252344025874426,completed,,0.007326344017884068,1.9076162945169748,2.2286712299155065
4,12,0.008295131982961793,1.0,1.0,1202,2,12,sensor,-0.5303065091614121,0.008358442893659473,full,16384,confirmation,,ambiguous,1.3601789809763432,1.3601789809763432,5101402,full_n16384_k2048_m4,0.010785148689869867,,0.06356511352697787,completed,2048,0.011229470748388433,2.394186421336629,2.7439415885797325
8,13,0.002145499501769782,1.0,1.0,1202,2,12,sensor,-0.5260400933976932,0.0055393434736511595,tail_anchored,16384,confirmation,,ambiguous,2.3431032858788967,2.3431032858788967,5101402,tail_anchored_n16384_k2048_m8,0.008501170402308052,,0.062430610933086925,completed,2048,0.009386106836201865,2.378190787563246,2.707519633940209
4,14,0.029134653629925535,1.0,1.0,1202,2,12,sensor,-0.4858491013837165,0.03451146455710472,tail_fixed,16384,confirmation,,ambiguous,1.9185993075370789,1.9185993075370789,5101402,tail_fixed,0.0290144074126504,,0.07759800876034302,completed,2048,0.03030263673801339,2.425503141028935,2.762011592748062
4,15,0.00539729099583113,1.0,1.0,1202,2,12,sensor,-0.5049623250220225,0.0052207198853621945,unbiased,16384,confirmation,,ambiguous,1.4816210716962814,1.4816210716962814,5101402,unbiased,0.00900660688028737,,0.062076216741296715,completed,2048,0.010194025121782198,2.3795191516820156,2.726861438413732
,16,0.0035361426730670205,1.0,1.0,1202,2,12,sensor,-20.286847047845104,0.009386347856687564,annealed_smc,16384,confirmation,0.15,ambiguous,0.10130956396460533,0.10130956396460533,5101402,smc_k64_scale0.15,0.009124420059713197,64,0.06367180541506909,completed,,0.010077562169297258,2.387543710629055,2.717958850195823
,17,0.011221993948802873,1.0,1.0,1202,2,12,sensor,,0.003433427382884525,exact,16384,confirmation,,ambiguous,0.004575200378894806,0.004575200378894806,5101402,exact,0.0077055311169184374,,0.06123664535893571,completed,,0.008285426313276747,2.396101167746623,2.7283415707018177
4,18,0.0037040472360192547,1.0,1.0,1203,2,12,sensor,-0.08201124228031897,0.0061930870094047685,full,16384,confirmation,,ambiguous,1.3994826339185238,1.3994826339185238,5101403,full_n16384_k2048_m4,0.008767391421292202,,0.28322211328088576,completed,2048,0.008401563495728702,1.732815528695645,2.047314822314119
8,19,0.00896521257904982,1.0,1.0,1203,2,12,sensor,-0.07493997411556563,0.006527024972116426,tail_anchored,16384,confirmation,,ambiguous,2.224597405642271,2.224597405642271,5101403,tail_anchored_n16384_k2048_m8,0.01043801304090769,,0.28252707642667657,completed,2048,0.009473770845070914,1.750554682145015,2.0751700400165243
