cell_id,training_seed,dataset_seed,setting_id,particles,method,mse,rmse,coverage90,coverage95,width90,width95
-1,0,701,reference,0,true_reference,0.01497956910560829,0.1223910499407873,0.875,1.0,0.36032791386995966,0.42947836176334064
-1,0,702,reference,0,learned_reference,0.015125806998327693,0.1229870196334869,1.0,1.0,0.36554351594306256,0.43559049597950394
-1,0,702,reference,0,true_reference,0.013701092202711271,0.11705166467296085,1.0,1.0,0.36593333785271426,0.4360476968892232
-1,0,703,reference,0,learned_reference,0.01754828225119702,0.13246992961120277,0.875,1.0,0.37072746472151785,0.44172044999360327
-1,0,703,reference,0,true_reference,0.017630992312851257,0.13278174691143077,0.875,1.0,0.37051867663682625,0.4414641049806036
-1,0,704,reference,0,learned_reference,0.004352000172166666,0.06596969131477474,1.0,1.0,0.37240946820263426,0.44366066200874227
-1,0,704,reference,0,true_reference,0.004207599088082213,0.06486600872631376,1.0,1.0,0.37112173601978643,0.4421509438338915
-1,0,705,reference,0,learned_reference,0.010423137795659633,0.10209376962214507,1.0,1.0,0.3615853901842598,0.430951720598903
-1,0,705,reference,0,true_reference,0.009934491714063886,0.0996719203891642,1.0,1.0,0.36126357044106866,0.43057654788088806
-1,0,706,reference,0,learned_reference,0.005251728252245989,0.0724688088231481,1.0,1.0,0.3524872131160605,0.420090398544105
-1,0,706,reference,0,true_reference,0.005460177869919136,0.07389301638124632,1.0,1.0,0.35202275878523537,0.41954810866796094
-1,0,707,reference,0,learned_reference,0.004934962057493792,0.07024928510307982,1.0,1.0,0.36185169958052554,0.4311190984261782
-1,0,707,reference,0,true_reference,0.004940704270692206,0.07029014348180125,1.0,1.0,0.36203340419707286,0.4313385177476315
-1,0,708,reference,0,learned_reference,0.010638163682813694,0.10314147411596217,1.0,1.0,0.35570529066813783,0.4237788312772939
-1,0,708,reference,0,true_reference,0.010695984496259827,0.10342139283658786,1.0,1.0,0.35563655516451353,0.4237140723786723
-1,0,709,reference,0,learned_reference,0.014124702991004294,0.11884739370724245,0.75,1.0,0.36947690842308256,0.44016679665130265
-1,0,709,reference,0,true_reference,0.013936904292385413,0.11805466654218041,0.875,1.0,0.3691110014423328,0.43974369542556097
-1,1,700,reference,0,learned_reference,0.00989305547467353,0.09946384003583177,0.875,1.0,0.3688644769397349,0.4395063037880681
-1,1,700,reference,0,true_reference,0.00970108460683744,0.09849408412101429,0.875,1.0,0.3669955779100237,0.4373024706014377
-1,1,701,reference,0,learned_reference,0.01576618681750746,0.12556347724361355,0.875,1.0,0.36214312901022777,0.4316269084037504
-1,1,701,reference,0,true_reference,0.01497956910560829,0.1223910499407873,0.875,1.0,0.36032791386995966,0.42947836176334064
-1,1,702,reference,0,learned_reference,0.013791765594972812,0.11743834805962153,1.0,1.0,0.36635368295503956,0.4365630391513421
-1,1,702,reference,0,true_reference,0.013701092202711271,0.11705166467296085,1.0,1.0,0.36593333785271426,0.4360476968892232
-1,1,703,reference,0,learned_reference,0.018625229374128693,0.1364742809987607,0.875,1.0,0.3720567548169349,0.4432900204103521
-1,1,703,reference,0,true_reference,0.017630992312851257,0.13278174691143077,0.875,1.0,0.37051867663682625,0.4414641049806036
